hour,EFS2020,EFS2030,EFS2040,EFS2050
488,38551.383,42512.672,46796.34,51631.387
489,40567.84,44738.02,49249.625,54341.32
490,41922.641,46232.695,50897.438,56162.176
491,42372.246,46728.625,51444.996,56768.684
492,41776.375,46070.844,50721.066,55970.918
493,40826.531,45022.336,49566,54696.586
494,39603.754,43672.621,48079.148,53056.422
495,38779.051,42762.832,47077.723,51951.996
496,38156.387,42075.492,46320.668,51116.836
497,38024.922,41929.777,46159.578,50939.016
498,39111.609,43128.469,47480.434,52398.242
499,41953.176,46264.629,50936.574,56214.348
500,42102.758,46430.203,51118.852,56414.609
501,41595.344,45870.684,50502.523,55734.02
502,40591.23,44763.336,49282.492,54386.324
503,38939.305,42940.992,47274.332,52168.051
504,36951.48,40747.703,44857.215,49498.23
505,35275.586,38898.813,42819.938,47248.293
506,34185.313,37695.852,41494.246,45784
507,33537.664,36981.387,40706.77,44913.855
508,33229.832,36641.547,40331.91,44499.531
509,33310.219,36730.352,40430.117,44608.398
510,33850.285,37325.914,41085.805,45332.074
511,34843.043,38421.031,42292.074,46663.793
512,35875.66,39559.625,43545.238,48045.969
513,37063.707,40870.273,44989.672,49641.777
514,38250.977,42180.5,46434.098,51237.5
515,38472.875,42425.883,46705.902,51539.414
516,38378.309,42321.441,46591.656,51414.785
517,38265.199,42196.68,46454.637,51264.047
518,38201.121,42126.313,46378.145,51180.762
519,38147.852,42068.328,46315.645,51112.734
520,38122.063,42040.633,46286.07,51080.344
521,38188.426,42113.277,46365.992,51169.199
522,39089.559,43106.242,47459.406,52377.848
523,41776.641,46070.965,50725.719,55984.57
524,41886.801,46192.098,50857.555,56128.344
525,40981.609,45193.18,49756.281,54911.793
526,39521.871,43582.477,47980.746,52950.453
527,37254.297,41080.598,45223.16,49903.809
528,34409.609,37941.57,41763.477,46082.309
529,32473.217,35804.898,39408.008,43479.523
530,31536.588,34771.379,38268.734,42221.188
531,31246.186,34450.957,37915.266,41830.176
532,31549.789,34785.738,38283.859,42236.906
533,32749.201,36109.273,39742.246,43847.293
534,35906.898,39593.758,43582.316,48087.984
535,41231.977,45470.48,50058.688,55239.453
536,43250.063,47697.02,52510.223,57944.02
537,42280.281,46626.352,51329.832,56640.375
538,41873.875,46177.836,50836.605,56097.246
539,41738.156,46028.438,50673.422,55918.73
540,41195.223,45429.203,50014.07,55192.473
541,40507.711,44670.77,49179.27,54271.809
542,40075.191,44193.547,48654.199,53693.121
543,39563.637,43629.148,48032.758,53007.582
544,39235.48,43266.637,47633.059,52566.254
545,39242.039,43273.316,47639.98,52574.102
546,40060.441,44175.379,48633.824,53672.969
